"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
571952;2024-01-01;"segunda-feira";"18:20:00";"SC";101;124;"ITAJAI";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Nublado";"Dupla";"Reta";"Não";2;0;0;1;1;0;1;2;-26,94335064;-48,69198648;"SPRF-SC";"DEL04-SC";"UOP04-DEL04-SC"
571953;2024-01-01;"segunda-feira";"16:30:00";"BA";101;434;"MARAU";"Ultrapassagem Indevida";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";6;2;0;4;0;0;4;1;-14,227651;-39,319407;"SPRF-BA";"DEL05-BA";"UOP01-DEL05-BA"
571954;2024-01-01;"segunda-feira";"18:00:00";"SC";116;20;"MAFRA";"Avarias e/ou desgaste excessivo no pneu";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;2;0;0;0;2;1;-26,24150415;-49,90271274;"SPRF-SC";"DEL06-SC";"UOP01-DEL06-SC"
571955;2024-01-01;"segunda-feira";"10:30:00";"RJ";116;234;"PIRAI";"Acumulo de água sobre o pavimento";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Garoa/Chuvisco";"Múltipla";"Não Informado";"Não";3;0;1;0;2;0;1;1;-22,66643245;-43,84609222;"SPRF-RJ";"DEL07-RJ";"UOP01-DEL07-RJ"
571956;2024-01-01;"segunda-feira";"16:20:00";"GO";364;167;"JATAI";"Acumulo de água sobre o pavimento";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Curva";"Não";4;0;3;0;1;0;3;1;-18,057447;-51,541862;"SPRF-GO";"DEL05-GO";"UOP01-DEL05-GO"
571958;2024-01-01;"segunda-feira";"18:15:00";"SP";116;102;"PINDAMONHANGABA";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;1;-22,99497994;-45,48951403;"SPRF-SP";"DEL08-SP";"UOP01-DEL08-SP"
571959;2024-01-01;"segunda-feira";"18:55:00";"MG";381;855,8;"POUSO ALEGRE";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Nublado";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-22,285906;-45,896407;"SPRF-MG";"DEL16-MG";"UOP01-DEL16-MG"
571960;2024-01-01;"segunda-feira";"17:35:00";"RS";386;227,8;"MORMACO";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Não";6;0;4;0;2;0;4;2;-28,68195406;-52,59642899;"SPRF-RS";"DEL04-RS";"UOP03-DEL04-RS"
571961;2024-01-01;"segunda-feira";"18:30:00";"PR";116;104;"SAO JOSE DOS PINHAIS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Sem Vítimas";"Anoitecer";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;0;0;2;0;0;2;-25,57186586;-49,19780731;"SPRF-PR";"DEL01-PR";"UOP07-DEL01-PR"
571962;2024-01-01;"segunda-feira";"18:20:00";"PR";277;108;"CAMPO LARGO";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Nublado";"Dupla";"Reta";"Não";3;0;1;0;2;0;1;3;-25,432;-49,428;"SPRF-PR";"DEL03-PR";"UOP03-DEL03-PR"
571964;2024-01-01;"segunda-feira";"18:30:00";"PR";116;51;"CAMPINA GRANDE DO SUL";"Reação tardia ou ineficiente do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Nublado";"Dupla";"Não Informado";"Não";2;0;1;0;1;0;1;1;-25,24249703;-48,90292205;"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
571965;2024-01-01;"segunda-feira";"19:00:00";"BA";324;569;"SAO SEBASTIAO DO PASSE";"Avarias e/ou desgaste excessivo no pneu";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;1;-12,54065603;-38,58868903;"SPRF-BA";"DEL01-BA";"UOP01-DEL01-BA"
571966;2024-01-01;"segunda-feira";"18:50:00";"RJ";116;142;"DUQUE DE CAXIAS";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;2;0;1;0;2;2;-22,64876087;-43,23031638;"SPRF-RJ";"DEL01-RJ";"UOP02-DEL01-RJ"
571967;2024-01-01;"segunda-feira";"18:25:00";"RS";158;12,7;"IRAI";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";5;0;5;0;0;0;5;1;-27,22331;-53,32372;"SPRF-RS";"DEL08-RS";"UOP02-DEL08-RS"
571968;2024-01-01;"segunda-feira";"18:00:00";"GO";50;258,9;"CATALAO";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Chuva";"Dupla";"Reta";"Não";4;0;1;1;2;0;2;1;-18,0291;-47,8275;"SPRF-GO";"DEL06-GO";"UOP01-DEL06-GO"
571969;2024-01-01;"segunda-feira";"18:40:00";"MG";381;433,8;"SABARA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Não Informado";"Não";2;0;1;0;1;0;1;1;-19,79269213;-43,74585386;"SPRF-MG";"DEL01-MG";"UOP01-DEL01-MG"
571970;2024-01-01;"segunda-feira";"18:45:00";"SC";101;320,2;"PESCARIA BRAVA";"Ingestão de álcool pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Múltipla";"Não Informado";"Não";4;0;2;0;2;0;2;2;-28,424426;-48,899429;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
571971;2024-01-01;"segunda-feira";"18:15:00";"MT";163;649;"LUCAS DO RIO VERDE";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Simples";"Curva";"Não";2;0;2;0;0;0;2;1;-13,38426329;-56,0896039;"SPRF-MT";"DEL06-MT";"UOP01-DEL06-MT"
571972;2024-01-01;"segunda-feira";"18:30:00";"SP";381;40;"ATIBAIA";"Ausência de reação do condutor";"Colisão com objeto";"Com Vítimas Fatais";"Anoitecer";"Decrescente";"Céu Claro";"Dupla";"Não Informado";"Sim";1;1;0;0;0;0;0;1;-23,12997498;-46,5767598;"SPRF-SP";"DEL03-SP";"UOP01-DEL03-SP"
571973;2024-01-01;"segunda-feira";"16:35:00";"SC";101;321,7;"PESCARIA BRAVA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;1;0;2;0;1;2;-28,42532339;-48,8919091;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
571974;2024-01-01;"segunda-feira";"18:30:00";"RS";285;563;"SAO LUIZ GONZAGA";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Não Informado";"Não";3;0;2;1;0;0;3;1;-28,418158;-54,906945;"SPRF-RS";"DEL10-RS";"UOP01-DEL10-RS"
571975;2024-01-01;"segunda-feira";"14:45:00";"SC";101;325,5;"CAPIVARI DE BAIXO";"Ausência de reação do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;1;0;0;2;1;-28,43669487;-48,95988464;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
571977;2024-01-01;"segunda-feira";"19:30:00";"RS";101;79;"OSORIO";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Curva";"Não";2;0;2;0;0;0;2;1;-29,81836971;-50,24552545;"SPRF-RS";"DEL03-RS";"UOP01-DEL03-RS"
571978;2024-01-01;"segunda-feira";"20:00:00";"SP";116;230;"SAO PAULO";"Trafegar com motocicleta (ou similar) entre as faixas";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Ignorado";"Múltipla";"Não Informado";"Sim";3;0;2;0;1;0;2;2;-23,52251783;-46,5855702;"SPRF-SP";"DEL01-SP";"UOP01-DEL01-SP"
571979;2024-01-01;"segunda-feira";"19:00:00";"PI";222;85;"PIRIPIRI";"Demais falhas na via";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta";"Não";1;0;0;1;0;0;1;1;-4,24033984;-41,83304398;"SPRF-PI";"DEL02-PI";"UOP01-DEL02-PI"
571980;2024-01-01;"segunda-feira";"17:00:00";"MG";40;732,3;"OLIVEIRA FORTES";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Não Informado";"Não";2;0;2;0;0;0;2;1;-21,35659703;-43,5810239;"SPRF-MG";"DEL05-MG";"UOP01-DEL05-MG"
571981;2024-01-01;"segunda-feira";"20:00:00";"SC";101;303,5;"LAGUNA";"Animais na Pista";"Atropelamento de Animal";"Sem Vítimas";"Plena Noite";"Decrescente";"Nublado";"Múltipla";"Reta";"Não";1;0;0;0;1;0;0;1;-28,36660007;-48,75440061;"SPRF-SC";"DEL02-SC";"UOP03-DEL02-SC"
571982;2024-01-01;"segunda-feira";"18:40:00";"MG";40;727;"BARBACENA";"Reação tardia ou ineficiente do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Curva";"Não";1;0;1;0;0;0;1;1;-21,31429811;-43,59529512;"SPRF-MG";"DEL05-MG";"UOP01-DEL05-MG"
571983;2024-01-01;"segunda-feira";"20:10:00";"CE";304;54;"ARACATI";"Deficiência do Sistema de Iluminação/Sinalização";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Não Informado";"Sim";4;0;1;0;3;0;1;2;-4,57724403;-37,72799601;"SPRF-CE";"DEL03-CE";"UOP03-DEL03-CE"
571984;2024-01-01;"segunda-feira";"18:50:00";"RJ";40;66;"PETROPOLIS";"Transitar no Acostamento";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Garoa/Chuvisco";"Dupla";"Curva";"Não";1;0;1;0;0;0;1;1;-22,43082088;-43,16858622;"SPRF-RJ";"DEL05-RJ";"UOP02-DEL05-RJ"
571985;2024-01-01;"segunda-feira";"19:50:00";"RS";116;163,7;"CAXIAS DO SUL";"Demais falhas mecânicas ou elétricas";"Incêndio";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;1;-29,25506295;-51,16005783;"SPRF-RS";"DEL05-RS";"UOP02-DEL05-RS"
571986;2024-01-01;"segunda-feira";"20:15:00";"GO";153;422;"ANAPOLIS";"Objeto estático sobre o leito carroçável";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Reta";"Não";3;0;0;1;2;0;1;3;-16,19182;-49,032566;"SPRF-GO";"DEL02-GO";"UOP01-DEL02-GO"
571987;2024-01-01;"segunda-feira";"19:25:00";"DF";20;40;"BRASILIA";"Pedestre andava na pista";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Chuva";"Dupla";"Desvio Temporário";"Sim";2;1;0;0;1;0;0;2;-15,581853;-47,512711;"SPRF-DF";"DEL02-DF";"UOP01-DEL02-DF"
571988;2024-01-01;"segunda-feira";"21:10:00";"PR";277;721;"FOZ DO IGUACU";"Ingestão de álcool pelo condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;2;-25,4911505;-54,51185421;"SPRF-PR";"DEL05-PR";"UOP03-DEL05-PR"
571989;2024-01-01;"segunda-feira";"20:50:00";"SC";470;54,4;"BLUMENAU";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Interseção de vias";"Sim";2;0;1;0;1;0;1;2;-26,867121;-49,102066;"SPRF-SC";"DEL04-SC";"UOP01-DEL04-SC"
571990;2024-01-01;"segunda-feira";"17:30:00";"MG";262;8,5;"MARTINS SOARES";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Chuva";"Simples";"Reta";"Não";4;0;1;1;2;0;2;1;-20,25369605;-41,82611703;"SPRF-MG";"DEL06-MG";"UOP03-DEL06-MG"
571991;2024-01-01;"segunda-feira";"13:50:00";"SC";470;200;"PONTE ALTA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";4;1;0;1;1;1;1;1;-27,3038083;-50,1381765;"SPRF-SC";"DEL05-SC";"UOP03-DEL05-SC"
571992;2024-01-01;"segunda-feira";"18:00:00";"MG";262;175;"SAO DOMINGOS DO PRATA";"Ausência de reação do condutor";"Colisão frontal";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Chuva";"Simples";"Não Informado";"Não";9;0;0;6;3;0;6;2;-19,93200618;-42,95476933;"SPRF-MG";"DEL03-MG";"UOP01-DEL03-MG"
571993;2024-01-01;"segunda-feira";"19:40:00";"RJ";116;126;"MAGE";"Condutor deixou de manter distância do veículo da frente";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;1;0;0;1;1;2;-22,65489354;-43,08636526;"SPRF-RJ";"DEL04-RJ";"UOP02-DEL04-RJ"
571994;2024-01-01;"segunda-feira";"17:15:00";"SC";480;129,5;"CHAPECO";"Ingestão de álcool pelo condutor";"Colisão lateral mesmo sentido";"Sem Vítimas";"Pleno dia";"Crescente";"Sol";"Simples";"Não Informado";"Sim";3;0;0;0;3;0;0;2;-27,05055035;-52,63536394;"SPRF-SC";"DEL07-SC";"UOP01-DEL07-SC"
571995;2024-01-01;"segunda-feira";"20:30:00";"MG";381;568;"ITAGUARA";"Velocidade Incompatível";"Capotamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Curva";"Não";3;0;3;0;0;0;3;1;-20,42649228;-44,54458383;"SPRF-MG";"DEL04-MG";"UOP03-DEL04-MG"
571996;2024-01-01;"segunda-feira";"15:00:00";"PA";316;94;"SAO FRANCISCO DO PARA";"Mal súbito do condutor";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Chuva";"Simples";"Desvio Temporário";"Não";1;1;0;0;0;0;0;1;-1,32568297;-47,656705;"SPRF-PA";"DEL01-PA";"UOP02-DEL01-PA"
571997;2024-01-01;"segunda-feira";"19:00:00";"PR";163;262;"TOLEDO";"Demais falhas mecânicas ou elétricas";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;0;0;1;0;1;-24,62694356;-53,89021397;"SPRF-PR";"DEL06-PR";"UOP02-DEL06-PR"
571999;2024-01-01;"segunda-feira";"21:45:00";"SP";116;208;"GUARULHOS";"Trafegar com motocicleta (ou similar) entre as faixas";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";3;0;2;0;0;1;2;2;-23,42222263;-46,3932771;"SPRF-SP";"DEL01-SP";"UOP01-DEL01-SP"
572000;2024-01-01;"segunda-feira";"20:10:00";"MG";381;533,1;"ITATIAIUCU";"Pista Escorregadia";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Curva";"Não";1;0;1;0;0;0;1;1;-20,19896036;-44,38641307;"SPRF-MG";"DEL04-MG";"UOP03-DEL04-MG"
572001;2024-01-01;"segunda-feira";"16:50:00";"MG";116;302;"ITAMBACURI";"Reação tardia ou ineficiente do condutor";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Curva";"Não";5;0;2;2;1;0;4;2;-18,01809416;-41,63418999;"SPRF-MG";"DEL11-MG";"UOP01-DEL11-MG"
572002;2024-01-01;"segunda-feira";"18:00:00";"MG";267;145;"LIMA DUARTE";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Chuva";"Simples";"Curva";"Não";3;0;1;0;2;0;1;1;-21,81169158;-43,71605708;"SPRF-MG";"DEL05-MG";"UOP01-DEL05-MG"
572003;2024-01-01;"segunda-feira";"21:00:00";"RR";174;11;"BOA VISTA";"Condutor Dormindo";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Rotatória";"Não";1;0;1;0;0;0;1;1;2,819364;-60,673775;"SPRF-RR";"DEL01-RR";"UOP01-DEL01-RR"
572004;2024-01-01;"segunda-feira";"19:30:00";"MS";163;172;"JUTI";"Reação tardia ou ineficiente do condutor";"Colisão com objeto";"Sem Vítimas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Sim";2;0;0;0;0;2;0;2;-22,86622819;-54,61002707;"SPRF-MS";"DEL09-MS";"UOP01-DEL09-MS"
572005;2024-01-01;"segunda-feira";"17:40:00";"PR";376;127,5;"ALTO PARANA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Não Informado";"Não";4;0;2;2;0;0;4;1;-23,15641;-52,2655;"SPRF-PR";"DEL09-PR";"UOP02-DEL09-PR"
572006;2024-01-01;"segunda-feira";"21:30:00";"MG";381;531,1;"ITATIAIUCU";"Velocidade Incompatível";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Não Informado";"Não";7;0;4;0;3;0;4;2;-20,18182886;-44,37895835;"SPRF-MG";"DEL04-MG";"UOP03-DEL04-MG"
572007;2024-01-01;"segunda-feira";"22:15:00";"RJ";40;64;"PETROPOLIS";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;-22,420418;-43,155285;"SPRF-RJ";"DEL05-RJ";"UOP02-DEL05-RJ"
572008;2024-01-01;"segunda-feira";"20:00:00";"RJ";116;24;"SAPUCAIA";"Ausência de reação do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Curva";"Não";5;0;4;1;0;0;5;2;-22,03064831;-42,77714236;"SPRF-RJ";"DEL05-RJ";"UOP01-DEL05-RJ"
572009;2024-01-01;"segunda-feira";"22:25:00";"MS";163;489;"CAMPO GRANDE";"Avarias e/ou desgaste excessivo no pneu";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Não Informado";"Sim";1;0;1;0;0;0;1;1;-20,40828185;-54,55160067;"SPRF-MS";"DEL01-MS";"UOP02-DEL01-MS"
572010;2024-01-01;"segunda-feira";"22:10:00";"BA";101;102;"ALAGOINHAS";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";1;0;0;0;1;0;0;1;-12,15440191;-38,40413906;"SPRF-BA";"DEL01-BA";"UOP04-DEL01-BA"
572012;2024-01-01;"segunda-feira";"21:10:00";"RN";304;96,8;"ACU";"Ingestão de álcool pelo condutor";"Colisão lateral sentido oposto";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;-5,56029017;-37,05654144;"SPRF-RN";"DEL04-RN";"UOP01-DEL04-RN"
572013;2024-01-01;"segunda-feira";"23:00:00";"RS";386;228,9;"SOLEDADE";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Curva";"Não";7;0;2;4;1;0;6;2;-28,682615;-52,594723;"SPRF-RS";"DEL04-RS";"UOP03-DEL04-RS"
572016;2024-01-01;"segunda-feira";"22:20:00";"AL";316;226;"ATALAIA";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";1;0;1;0;0;0;1;1;-9,48398693;-36,15120494;"SPRF-AL";"DEL01-AL";"UOP01-DEL01-AL"
572018;2024-01-01;"segunda-feira";"21:00:00";"GO";60;8;"SANTO ANTONIO DO DESCOBERTO";"Avarias e/ou desgaste excessivo no pneu";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Reta";"Não";2;0;0;0;1;1;0;2;-16,108703;-48,29952;"SPRF-DF";"DEL03-DF";"UOP01-DEL03-DF"
572019;2024-01-02;"terça-feira";"00:01:00";"PR";373;178,5;"PONTA GROSSA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";4;0;1;0;2;1;1;3;-25,047729;-50,235707;"SPRF-PR";"DEL03-PR";"UOP01-DEL03-PR"
572022;2024-01-02;"terça-feira";"01:11:00";"RJ";101;591;"PARATY";"Retorno proibido";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Curva";"Não";2;0;1;0;1;0;1;2;-23,31079094;-44,71658005;"SPRF-RJ";"DEL03-RJ";"UOP04-DEL03-RJ"
572023;2024-01-01;"segunda-feira";"22:30:00";"MT";163;88,5;"RONDONOPOLIS";"Animais na Pista";"Capotamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Não Informado";"Não";5;0;5;0;0;0;5;1;-16,75646914;-54,65421973;"SPRF-MT";"DEL02-MT";"UOP03-DEL02-MT"
572024;2024-01-02;"terça-feira";"02:00:00";"PR";116;103;"SAO JOSE DOS PINHAIS";"Velocidade Incompatível";"Colisão com objeto";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Interseção de vias";"Não";1;1;0;0;0;0;0;1;-25,56976;-49,18452;"SPRF-PR";"DEL01-PR";"UOP07-DEL01-PR"
572025;2024-01-02;"terça-feira";"02:05:00";"RJ";101;389;"RIO DE JANEIRO";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Garoa/Chuvisco";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;-22,89077885;-43,66684705;"SPRF-RJ";"DEL03-RJ";"UOP01-DEL03-RJ"
572026;2024-01-01;"segunda-feira";"20:00:00";"RJ";101;532;"ANGRA DOS REIS";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";3;0;1;0;2;0;1;2;-23,0188787;-44,53190088;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
572027;2024-01-01;"segunda-feira";"21:10:00";"RJ";101;529;"ANGRA DOS REIS";"Retorno proibido";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";5;0;2;2;0;1;4;3;-23,02483585;-44,50876994;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
572028;2024-01-02;"terça-feira";"03:30:00";"MG";381;486,8;"BETIM";"Pedestre andava na pista";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Nublado";"Múltipla";"Reta";"Sim";2;1;0;0;0;1;0;2;-19,95644414;-44,13611598;"SPRF-MG";"DEL01-MG";"UOP03-DEL01-MG"
572030;2024-01-01;"segunda-feira";"22:15:00";"SP";116;105;"TAUBATE";"Ausência de reação do condutor";"Capotamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";5;0;4;0;1;0;4;1;-23,00757973;-45,51466613;"SPRF-SP";"DEL02-SP";"UOP02-DEL02-SP"
572032;2024-01-02;"terça-feira";"04:40:00";"GO";153;677;"PANAMA";"Condutor Dormindo";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";5;0;1;0;4;0;1;2;-18,2013;-49,28;"SPRF-GO";"DEL03-GO";"UOP02-DEL03-GO"
572034;2024-01-02;"terça-feira";"03:59:00";"GO";364;74;"CACHOEIRA ALTA";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Não Informado";"Não";1;0;1;0;0;0;1;1;-18,630026;-51,023273;"SPRF-GO";"DEL05-GO";"UOP02-DEL05-GO"
572036;2024-01-02;"terça-feira";"02:40:00";"AC";364;139;"RIO BRANCO";"Ausência de reação do condutor";"Colisão com objeto";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;0;0;0;1;0;1;-9,94989136;-67,86565125;"SPRF-AC";"DEL01-AC";"UOP01-DEL01-AC"
572037;2024-01-01;"segunda-feira";"23:00:00";"GO";50;213,4;"CAMPO ALEGRE DE GOIAS";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Não Informado";"Não";2;1;0;1;0;0;1;1;-17,66913074;-47,73156166;"SPRF-GO";"DEL06-GO";"UOP01-DEL06-GO"
572039;2024-01-02;"terça-feira";"04:40:00";"PR";277;234;"FERNANDES PINHEIRO";"Ausência de reação do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Céu Claro";"Simples";"Interseção de vias";"Não";1;0;1;0;0;0;1;1;-25,47103055;-50,49767186;"SPRF-PR";"DEL08-PR";"UOP02-DEL08-PR"
572040;2024-01-02;"terça-feira";"06:00:00";"SC";101;102;"BALNEARIO PICARRAS";"Entrada inopinada do pedestre";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;2;-26,77383397;-48,68594062;"SPRF-SC";"DEL03-SC";"UOP02-DEL03-SC"
572041;2024-01-02;"terça-feira";"06:20:00";"RN";101;83;"NATAL";"Reação tardia ou ineficiente do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Chuva";"Múltipla";"Não Informado";"Sim";1;0;1;0;0;0;1;1;-5,7710445;-35,26616981;"SPRF-RN";"DEL02-RN";"UOP01-DEL02-RN"
